ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,DisbursementGross,MIS_Status,GrAppv,sector,isFranchise,sameState,backRealEstate,Portion
2007,37,1,2.0,5,6,1,Y,N,39272.0,CHGOFF,20000.0,Other_no_pub,No Franchise,0,0,0.5
2006,41,7,1.0,0,7,1,Y,N,127500.0,CHGOFF,85000.0,Wholesale_trade,No Franchise,0,0,0.5
2006,27,1,1.0,0,1,1,N,N,22000.0,CHGOFF,22000.0,Trans_Ware,No Franchise,0,0,0.5
2006,52,3,2.0,1,3,1,N,N,35000.0,CHGOFF,25000.0,Trans_Ware,No Franchise,0,0,0.5
2001,13,14,1.0,14,14,1,Y,N,75011.0,CHGOFF,75000.0,Wholesale_trade,No Franchise,0,0,0.5
2006,39,6,2.0,0,6,1,Y,N,35924.0,CHGOFF,10000.0,Other_no_pub,No Franchise,0,0,0.5
2009,104,3,1.0,2,3,1,N,N,12500.0,CHGOFF,12500.0,Construction,No Franchise,0,0,0.9
2006,78,8,1.0,0,0,1,N,N,150000.0,CHGOFF,150000.0,Arts_enter_recreation,Franchise,0,0,0.85
2008,62,2,1.0,0,2,1,Y,N,127733.0,CHGOFF,50000.0,RE_rental_leasing,No Franchise,0,0,0.5
2006,35,6,2.0,0,6,1,N,N,98935.0,CHGOFF,100000.0,Wholesale_trade,No Franchise,0,0,0.5
2007,51,4,1.0,0,4,1,Y,N,209659.0,CHGOFF,100000.0,Other_no_pub,No Franchise,0,0,0.5
2008,88,1,1.0,1,1,1,N,N,5000.0,CHGOFF,5000.0,Wholesale_trade,No Franchise,1,0,0.85
2003,4,3,2.0,2,1,2,Y,N,35200.0,CHGOFF,35000.0,Finance_insurance,No Franchise,0,0,0.5
2006,37,8,2.0,1,9,1,N,N,100000.0,CHGOFF,100000.0,Prof_scien_and_tech_serv,No Franchise,0,0,0.5
2006,36,3,1.0,0,3,1,Y,N,60060.0,CHGOFF,25000.0,Other_no_pub,No Franchise,0,0,0.5
2004,73,4,1.0,0,4,1,Y,N,49650.0,CHGOFF,50000.0,Construction,No Franchise,0,0,0.5
2008,43,4,1.0,0,4,1,N,N,35000.0,CHGOFF,35000.0,Wholesale_trade,No Franchise,0,0,0.5
2005,22,4,1.0,1,5,1,Y,N,58523.0,CHGOFF,30000.0,Manufacturing,Franchise,0,0,0.5
2007,41,5,1.0,2,7,1,N,N,20000.0,CHGOFF,20000.0,Construction,No Franchise,0,0,0.85
